Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting
WS2019,System,Security System Extension,{0CCE9211-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,System Integrity,{0CCE9212-69AE-11D9-BED3-505054503030},Success and Failure,
WS2019,System,IPsec Driver,{0CCE9213-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Other System Events,{0CCE9214-69AE-11D9-BED3-505054503030},Success and Failure,
WS2019,System,Security State Change,{0CCE9210-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Logon,{0CCE9215-69AE-11D9-BED3-505054503030},Success and Failure,
WS2019,System,Logoff,{0CCE9216-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Account Lockout,{0CCE9217-69AE-11D9-BED3-505054503030},Success,
WS2019,System,IPsec Main Mode,{0CCE9218-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,IPsec Quick Mode,{0CCE9219-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,IPsec Extended Mode,{0CCE921A-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Special Logon,{0CCE921B-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Other Logon/Logoff Events,{0CCE921C-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Network Policy Server,{0CCE9243-69AE-11D9-BED3-505054503030},Success and Failure,
WS2019,System,User / Device Claims,{0CCE9247-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Group Membership,{0CCE9249-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Access Rights,{0CCE924B-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,File System,{0CCE921D-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Registry,{0CCE921E-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Kernel Object,{0CCE921F-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,SAM,{0CCE9220-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Certification Services,{0CCE9221-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Application Generated,{0CCE9222-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Handle Manipulation,{0CCE9223-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,File Share,{0CCE9224-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Filtering Platform Packet Drop,{0CCE9225-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Filtering Platform Connection,{0CCE9226-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Other Object Access Events,{0CCE9227-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Detailed File Share,{0CCE9244-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Removable Storage,{0CCE9245-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Central Policy Staging,{0CCE9246-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Non Sensitive Privilege Use,{0CCE9229-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Other Privilege Use Events,{0CCE922A-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Sensitive Privilege Use,{0CCE9228-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Process Creation,{0CCE922B-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Process Termination,{0CCE922C-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,DPAPI Activity,{0CCE922D-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,RPC Events,{0CCE922E-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Plug and Play Events,{0CCE9248-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Token Right Adjusted Events,{0CCE924A-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Audit Policy Change,{0CCE922F-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Authentication Policy Change,{0CCE9230-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Authorization Policy Change,{0CCE9231-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,MPSSVC Rule-Level Policy Change,{0CCE9232-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Filtering Platform Policy Change,{0CCE9233-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Other Policy Change Events,{0CCE9234-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},Success,
