Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting
WS2019,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Other Account Management Events,{0CCE923A-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,
WS2019,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},Success,
WS2019,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},Success,
